,stop_name,stop_id,passenger_per_day,lat,lon,bus_per_day,avg_passenger_per_bus,diff_to_ideal_passenger
0,Rittershof Ahntweg,de:09373:17157:0:1,8.7,49.28324195,11.40810105,12,0.725,0.22499999999999998
1,Pölling Bergstr.,de:09373:17171:0:1,16.3,49.29030847,11.41409281,32,0.509375,0.009375000000000022
2,Pölling Fliederweg,de:09373:17174:0:1,18.3,49.29103499,11.42440547,9,2.033333333333333,1.5333333333333332
3,Neumarkt Flugplatz,de:09373:17033:0:1,8.8,49.28690425,11.44775269,24,0.3666666666666667,-0.1333333333333333
4,Pölling Gasthof Feihl,de:09373:17175:0:1,50.6,49.2929977,11.41658115,24,2.1083333333333334,1.6083333333333334
5,Neumarkt Johanneszentrum,de:09373:17051:0:1,18.1,49.28100928,11.45293597,16,1.13125,0.6312500000000001
6,Rittershof Kapellenweg,de:09373:17159:0:1,13.0,49.28582024,11.40519949,12,1.0833333333333333,0.5833333333333333
7,Neumarkt Klinikum,de:09373:17062:0:1,60.4,49.28495301,11.45200172,41,1.473170731707317,0.973170731707317
8,Woffenbach Kreuzstr.,de:09373:17187:0:1,11.0,49.28008337,11.4355356,14,0.7857142857142857,0.2857142857142857
9,Neumarkt Landratsamt,de:09373:17065:0:1,104.4,49.28279074,11.45643041,41,2.546341463414634,2.046341463414634
10,Pölling Marienbader Str.,de:09373:17176:0:1,4.7,49.29033191,11.42127934,23,0.20434782608695654,-0.29565217391304344
11,Woffenbach Meuselstr.,de:09373:17189:0:1,11.3,49.28030606,11.43232861,14,0.8071428571428572,0.30714285714285716
12,Neumarkt (OPf) Bf,de:09373:17000:53:10,775.5,49.27275749,11.45821806,155,5.003225806451613,4.503225806451613
13,Pölling Nibelungenstr.,de:09373:17178:0:1,4.9,49.2893593,11.42431564,14,0.35000000000000003,-0.14999999999999997
14,Neumarkt Nürnberger Str.,de:09373:17078:0:1,35.5,49.28797652,11.44510266,24,1.4791666666666667,0.9791666666666667
15,Neumarkt Oberer Markt,de:09373:17080:0:1,178.0,49.27767474,11.46028419,88,2.022727272727273,1.522727272727273
16,Neumarkt Pöllinger Höhe,de:09373:17177:0:2,3.4,49.28922454,11.44024277,23,0.14782608695652175,-0.3521739130434782
17,Neumarkt Rathaus,de:09373:17090:0:1,158.7,49.28039982,11.45849654,88,1.8034090909090907,1.3034090909090907
18,Pölling Siedlerstr.,de:09373:17179:0:1,15.1,49.28891986,11.41757828,23,0.6565217391304348,0.15652173913043477
19,Pölling Siegfriedstr.,de:09373:17180:0:1,5.7,49.29035535,11.4279628,14,0.40714285714285714,-0.09285714285714286
20,Pölling Stadtweg,de:09373:17173:0:2,10.7,49.28861518,11.42787297,14,0.7642857142857142,0.26428571428571423
21,Neumarkt Volksfestplatz,de:09373:17099:0:1,30.4,49.28207582,11.44686336,14,2.1714285714285713,1.6714285714285713
22,Neumarkt Woffenbacher Str.,de:09373:17106:0:1,5.9,49.28120267,11.44088058,14,0.42142857142857143,-0.07857142857142857
23,Holzheim (b.NM) Am Sand,de:09373:17133:0:1,1.9,49.29313831,11.4587301,17,0.11176470588235293,-0.38823529411764707
24,Holzheim (b.NM) Heiligenwiesen,de:09373:17135:0:1,7.5,49.29630192,11.45661906,17,0.4411764705882353,-0.05882352941176472
25,Holzheim (b.NM) Schule,de:09373:17136:0:1,11.6,49.29199585,11.45438226,17,0.6823529411764706,0.1823529411764706
28,Holzheim (b.NM) Maienbreite,de:09373:17138:0:1,16.2,49.2916326,11.44831863,17,0.9529411764705882,0.4529411764705882
32,Neumarkt St.-Anna-Str.,de:09373:17095:0:1,6.7,49.28865033,11.44990865,17,0.3941176470588235,-0.10588235294117648
33,Holzheim (b.NM) Triftstr.,de:09373:17134:0:1,1.2,49.29356014,11.45609804,17,0.07058823529411765,-0.4294117647058824
34,Neumarkt Altdorfer Str.,de:09373:17002:0:1,2.4,49.28804683,11.46106572,34,0.07058823529411765,-0.4294117647058824
35,Altenhof (NM) Geschäftszentrum,de:09373:17113:0:1,23.2,49.29210717,11.46503627,34,0.6823529411764706,0.1823529411764706
36,Altenhof (b.NM) Altenhofweg,de:09373:17119:0:1,11.7,49.29354842,11.46874632,28,0.4178571428571428,-0.08214285714285718
37,Neumarkt Am Evangelienstein,de:09373:17003:0:1,7.1,49.28407991,11.46271862,24,0.29583333333333334,-0.20416666666666666
38,Altenhof (b.NM) Breslauer Str.,de:09373:17111:0:1,8.2,49.29150956,11.46919547,28,0.2928571428571428,-0.20714285714285718
39,Altenhof (b.NM) Eichendorffstr,de:09373:17112:0:1,4.7,49.2879355,11.46244913,30,0.15666666666666668,-0.3433333333333333
40,Altenhof (b.NM) H.-Stehr-Str.,de:09373:17115:0:1,18.7,49.28999208,11.46652748,30,0.6233333333333333,0.1233333333333333
41,Altenhof (b.NM) Joh.-Mois-Ring,de:09373:17116:0:1,9.799999999999999,49.29442721,11.46639273,32,0.30624999999999997,-0.19375000000000003
43,Altenhof (b.NM) Koppenmühlweg,de:09373:17117:0:1,8.4,49.29716309,11.46565611,28,0.3,-0.2
44,Neumarkt Kornstr.,de:09373:17060:0:1,16.8,49.28655268,11.46386846,24,0.7000000000000001,0.20000000000000007
45,Neumarkt Landesgartenschau,de:09373:17063:0:1,19.0,49.29010926,11.46100284,34,0.5588235294117647,0.05882352941176472
46,Neumarkt Milchhofstr.,de:09373:17077:0:1,0.6,49.28597258,11.46060758,5,0.12,-0.38
47,Neumarkt Neuer Markt,de:09373:17014:0:1,40.300000000000004,49.28255634,11.45810128,33,1.2212121212121214,0.7212121212121214
51,Neumarkt Abzw. Regerstr.,de:09373:16998:0:1,3.0,49.29389408,11.47748692,8,0.375,-0.125
52,Neumarkt Amberger Str.,de:09373:17006:0:1,0.1,49.28615423,11.46678799,6,0.016666666666666666,-0.48333333333333334
53,Neumarkt EFA-Str.,de:09373:17018:0:1,3.6,49.28499403,11.4669407,10,0.36,-0.14
54,Neumarkt Faberpark,de:09373:17027:0:1,0.2,49.28746675,11.47103702,10,0.02,-0.48
55,Neumarkt Heideweg,de:09373:17047:0:2,10.6,49.28463658,11.4734984,26,0.4076923076923077,-0.09230769230769231
56,Neumarkt Kapuzinerhölzl,de:09373:17061:0:1,5.8,49.29220091,11.47779235,15,0.38666666666666666,-0.11333333333333334
57,Neumarkt Karl-Speier-Str.,de:09373:17053:0:1,26.1,49.28219302,11.47129753,30,0.87,0.37
58,Neumarkt Klostertor,de:09373:17057:0:1,11.1,49.28032364,11.46221556,52,0.21346153846153845,-0.2865384615384615
59,Neumarkt Kohlenbrunnermühlstr.,de:09373:17059:0:1,8.1,49.29322034,11.47593284,12,0.6749999999999999,0.17499999999999993
60,Neumarkt Leipziger Str.,de:09373:17066:0:1,6.3,49.29549346,11.47591487,12,0.525,0.025000000000000022
61,Neumarkt Museum Lothar Fischer,de:09373:17097:0:1,47.8,49.28175352,11.46329354,52,0.9192307692307692,0.4192307692307692
63,Neumarkt Pelchenhofener Str.,de:09373:17083:0:1,5.8,49.28775386,11.47449553,14,0.41428571428571426,-0.08571428571428574
64,Neumarkt Pulveräcker,de:09373:17084:0:1,0.4,49.28774214,11.46979735,6,0.06666666666666667,-0.43333333333333335
65,Neumarkt Regerstr.,de:09373:17088:0:1,3.5,49.29284538,11.48037052,14,0.25,-0.25
66,Neumarkt Sachsenstr.,de:09373:17091:0:1,4.9,49.29446822,11.4713155,12,0.4083333333333334,-0.09166666666666662
67,Schafhof (b.NM),de:09373:17163:0:1,1.2,49.29048424,11.4834697,14,0.08571428571428572,-0.41428571428571426
68,Neumarkt Schillerstr.,de:09373:17092:0:1,5.0,49.28886713,11.47782828,14,0.35714285714285715,-0.14285714285714285
69,Neumarkt Schlossbad,de:09373:17009:0:1,41.0,49.28208754,11.46739884,42,0.9761904761904762,0.47619047619047616
70,Neumarkt Theo-Betz-Platz,de:09373:17030:0:1,143.0,49.2771004,11.4612903,99,1.4444444444444444,0.9444444444444444
71,Neumarkt Wilhelm-Busch-Str.,de:09373:17105:0:1,5.2,49.29072446,11.47553758,15,0.3466666666666667,-0.15333333333333332
72,Neumarkt Am Lohgraben,de:09373:17005:0:1,11.9,49.28346463,11.48626346,27,0.44074074074074077,-0.059259259259259234
73,Neumarkt Birkenweg,de:09373:17012:0:1,7.7,49.2824157,11.47470215,52,0.14807692307692308,-0.3519230769230769
74,Neumarkt Egerländer Str.,de:09373:17019:0:1,5.5,49.28010681,11.47526809,28,0.19642857142857142,-0.3035714285714286
75,Neumarkt Föhrenweg,de:09373:17032:0:2,11.2,49.28148981,11.47843914,28,0.39999999999999997,-0.10000000000000003
76,Neumarkt Ginsterweg,de:09373:17037:0:1,10.9,49.28198206,11.47821456,52,0.20961538461538462,-0.29038461538461535
77,Neumarkt Hutäcker,de:09373:17049:0:1,9.6,49.28664643,11.48000221,27,0.35555555555555557,-0.14444444444444443
80,Neumarkt Kettelerstr.,de:09373:17055:0:1,22.4,49.2823864,11.4820324,54,0.4148148148148148,-0.0851851851851852
84,Neumarkt Saarlandstr.,de:09373:17089:0:1,14.4,49.27939771,11.47132448,22,0.6545454545454545,0.15454545454545454
87,Neumarkt Turnerheim,de:09373:17008:0:1,2.2,49.27776851,11.46954582,22,0.1,-0.4
89,Neumarkt Weißenfeldplatz,de:09373:17079:0:2,1.6,49.27901679,11.46358999,48,0.03333333333333333,-0.4666666666666667
90,Wolfstein Hl. Kreuz,de:09373:17196:0:1,6.3,49.28614251,11.48979384,27,0.23333333333333334,-0.26666666666666666
91,Wolfstein Siedlung,de:09373:17198:0:1,13.1,49.28449009,11.49016215,27,0.48518518518518516,-0.014814814814814836
92,Neumarkt Zedernweg,de:09373:17107:0:1,9.4,49.28488269,11.48003814,54,0.17407407407407408,-0.32592592592592595
93,Neumarkt Badstr.,de:09373:17011:0:1,1.5,49.27632093,11.46598849,19,0.07894736842105263,-0.42105263157894735
94,Höhenberg (b.NM) Gotenstr.,de:09373:17129:0:1,43.9,49.27341393,11.49733969,20,2.195,1.6949999999999998
95,Höhenberg im Tal (b.NM),de:09373:17127:0:1,14.5,49.27719417,11.48725161,19,0.7631578947368421,0.26315789473684215
96,Neumarkt Mariahilfstr.,de:09373:17068:0:1,32.8,49.27639712,11.47613945,19,1.726315789473684,1.226315789473684
98,Helena,de:09373:17126:0:1,2.9,49.26748805,11.50519097,3,0.9666666666666667,0.4666666666666667
99,Neumarkt Sturmwiese,de:09373:17096:0:1,4.4,49.2767429,11.48094544,19,0.23157894736842108,-0.2684210526315789
101,Voggenthal Ort,de:09373:17197:0:1,2.1,49.27605134,11.52800818,3,0.7000000000000001,0.20000000000000007
102,Neumarkt Ziegelhüttenweg,de:09373:17108:0:1,5.4,49.27518394,11.47186347,19,0.28421052631578947,-0.21578947368421053
103,Neumarkt Dientzenhoferstr.,de:09373:17016:0:1,1.3,49.27261682,11.47379485,11,0.11818181818181818,-0.38181818181818183
104,Lähr Fa. Klebl,de:09373:17148:0:1,5.5,49.25844252,11.48436802,13,0.4230769230769231,-0.07692307692307693
105,Neumarkt Finanzamt,de:09373:17028:0:1,26.3,49.27632679,11.46058961,14,1.8785714285714286,1.3785714285714286
106,Neumarkt Friedhof,de:09373:17035:0:1,3.2,49.27434583,11.46243116,13,0.24615384615384617,-0.25384615384615383
107,Neumarkt Kerschensteinerstr.,de:09373:17054:0:1,48.5,49.26409983,11.47454045,25,1.94,1.44
108,Lähr,de:09373:17149:0:1,11.0,49.26221218,11.48918299,13,0.8461538461538461,0.34615384615384615
110,Neumarkt Nobelstr.,de:09373:17075:0:1,4.9,49.26745288,11.47432485,11,0.4454545454545455,-0.05454545454545451
111,Neumarkt Oberer Lährer Weg,de:09373:17081:0:1,1.5,49.27003785,11.47209703,11,0.13636363636363635,-0.36363636363636365
112,Neumarkt Regensburger Str.,de:09373:17086:0:1,26.7,49.26256978,11.47617538,25,1.068,0.5680000000000001
113,Neumarkt Schweningerstr.,de:09373:16993:0:1,3.9,49.27315605,11.46522492,11,0.35454545454545455,-0.14545454545454545
114,Neumarkt Schönwerthstr.,de:09373:17114:0:1,2.5,49.26976236,11.4703004,10,0.25,-0.25
115,Neumarkt Weinberger S./Schule,de:09373:17102:0:1,7.4,49.27381248,11.46781207,11,0.6727272727272727,0.17272727272727273
116,Neumarkt Wildbadstr.,de:09373:17103:0:1,6.3,49.27327913,11.47130652,11,0.5727272727272728,0.07272727272727275
117,Neumarkt Ärztehaus,de:09373:16999:0:1,24.0,49.26636258,11.47284263,18,1.3333333333333333,0.8333333333333333
118,Neumarkt Berufsschulzentr.,de:09373:17013:0:1,56.8,49.26388293,11.47220483,18,3.1555555555555554,2.6555555555555554
119,Neumarkt Deininger Weg/Sportz.,de:09373:17015:0:1,3.6,49.26663222,11.46963565,17,0.21176470588235294,-0.28823529411764703
120,Neumarkt Fa. Bionorica,de:09373:17021:0:1,4.6,49.26240564,11.46840496,5,0.9199999999999999,0.41999999999999993
121,Neumarkt Fa. Dehn,de:09373:17022:0:1,1.2,49.26654429,11.46143403,4,0.3,-0.2
122,Neumarkt Fa. Pfleiderer,de:09373:17025:0:1,1.6,49.26378327,11.46111064,4,0.4,-0.09999999999999998
124,Neumarkt Hasenheide Försterst.,de:09373:17110:0:1,5.5,49.25611492,11.46356304,20,0.275,-0.22499999999999998
125,Neumarkt Hasenheide Kirche,de:09373:17044:0:1,8.3,49.2575924,11.46116454,20,0.41500000000000004,-0.08499999999999996
126,Neumarkt Hasenheide Schule,de:09373:17046:0:1,31.6,49.25423868,11.4612903,20,1.58,1.08
127,Neumarkt Ingolstädter Str.,de:09373:17050:0:1,6.5,49.2599082,11.45924214,4,1.625,1.125
129,Neumarkt Ludwig-Wifling-Str.,de:09373:17067:0:1,7.5,49.26767562,11.46828818,22,0.3409090909090909,-0.15909090909090912
130,Neumarkt Medererstr.,de:09373:17072:0:1,4.6,49.2698327,11.46606035,22,0.20909090909090908,-0.2909090909090909
134,Neumarkt Stadtwerke,de:09373:17098:0:1,36.8,49.27272818,11.4606525,26,1.4153846153846152,0.9153846153846152
136,Stauf (b.NM) A.-Senefelder-S.,de:09373:17167:0:1,0.0,49.25984958,11.44261432,16,0.0,-0.5
137,Neumarkt Fa. Aptiv,de:09373:17120:0:1,0.1,49.26074656,11.44509368,18,0.005555555555555556,-0.49444444444444446
138,Neumarkt Freystädter Str.,de:09373:17034:0:1,0.8,49.27573486,11.45296292,30,0.02666666666666667,-0.47333333333333333
139,Neumarkt Gansbrauerei,de:09373:17038:0:1,16.4,49.27700077,11.4589996,30,0.5466666666666666,0.046666666666666634
141,Neumarkt Klebl Bauzentr.,de:09373:17056:0:1,5.1,49.27459199,11.44777065,16,0.31875,-0.18125000000000002
142,Neumarkt Max-Künzel-Str.,de:09373:17071:0:1,4.8,49.27494951,11.44562368,11,0.43636363636363634,-0.06363636363636366
143,Stauf (b.NM) Moosweiherstr.,de:09373:17168:0:1,11.4,49.26551259,11.43486186,16,0.7125,0.21250000000000002
147,Woffenbach Rebhuhnstr.,de:09373:17188:0:1,1.6,49.27764544,11.43787122,11,0.14545454545454548,-0.3545454545454545
148,Stauf (b.NM) Renauweg,de:09373:17169:0:2,4.4,49.26120384,11.43074758,32,0.1375,-0.3625
149,Woffenbach Schloßstr.,de:09373:17191:0:1,3.7,49.27278093,11.44088058,12,0.30833333333333335,-0.19166666666666665
150,Stauf (b.NM) Kirche,de:09373:17166:0:2,7.3,49.26286876,11.43359524,32,0.228125,-0.271875
151,Neumarkt Wallensteinstr.,de:09373:17101:0:1,2.1,49.27739929,11.44244365,11,0.19090909090909092,-0.3090909090909091
152,Woffenbach Schule,de:09373:17192:0:1,5.9,49.27509603,11.43855394,12,0.4916666666666667,-0.008333333333333304
153,Woffenbach Zentrum,de:09373:17194:0:1,8.4,49.27684253,11.43514034,12,0.7000000000000001,0.20000000000000007
154,Woffenbach Am Letten,de:09373:17183:0:1,1.9,49.27468577,11.42945401,12,0.15833333333333333,-0.3416666666666667
155,Woffenbach BRK-Altenheim,de:09373:17185:0:1,4.0,49.27902265,11.43259811,13,0.3076923076923077,-0.1923076923076923
162,Woffenbach Tyrolsberger Str.,de:09373:17190:0:1,6.8,49.27688942,11.43051402,13,0.5230769230769231,0.023076923076923106
164,Woffenbach Kirche,de:09373:17186:0:1,9.9,49.27690114,11.43441271,12,0.8250000000000001,0.32500000000000007
166,Abzw. Holzheim (b.NM),de:09373:17131:0:2,0.5,49.29317932,11.45972723,5,0.1,-0.4
169,Neumarkt Blomenhofstr.,de:09373:17020:0:1,0.1,49.29890881,11.46136216,4,0.025,-0.475
173,Koppenmühle,de:09373:17150:0:1,0.3,49.29780163,11.46562018,4,0.075,-0.425
183,Abzw. Friedlmühle,de:09373:17123:0:1,0.1,49.30505936,11.48899434,2,0.05,-0.45
184,Iberlsmühle,de:09373:17141:0:1,0.0,49.31071718,11.50616115,2,0.0,-0.5
185,Ischhofen Feuerwehrhaus,de:09373:17143:0:2,0.0,49.31023108,11.5177584,2,0.0,-0.5
187,Rödelberg,de:09373:17161:0:2,0.0,49.31098659,11.51067967,2,0.0,-0.5
189,Abzw. Voggenthal,de:09373:17193:0:1,0.0,49.28120267,11.5294904,3,0.0,-0.5
190,Fuchsberg,de:09373:17144:0:1,0.0,49.28525771,11.5059725,3,0.0,-0.5
191,Karhof,de:09373:17145:0:1,0.0,49.28174766,11.51814467,3,0.0,-0.5
192,Lampertshofen,de:09373:17151:0:1,0.0,49.29329064,11.55086132,3,0.0,-0.5
193,Lippertshofen Ort,de:09373:17153:0:1,0.0,49.28175938,11.54931621,3,0.0,-0.5
195,Pelchenhofen,de:09373:17154:0:1,0.2,49.28660541,11.53096363,3,0.06666666666666667,-0.43333333333333335
